CIS #,Profile,Recommendation / Setting,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
—,Carried forward,Update policy override,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updatev87~policy~cat_edgeupdate~cat_webview_pol_updatepolicymicrosoftedgewebview,Update policy override = Enabled [Update Policy (Device) = Always allow updates (recommended)],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Control updater's communication with the Experimentation and Configuration Service,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updatev94~policy~cat_edgeupdate_pol_ecscontrol,Control updater's communication with the Experimentation and Configuration Service = Enabled [Control updater's communication with Experimentation and Configuration Service (Device) = Disable communication with the Experimentation and Configuration Service],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Target Channel override,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_updatev95~policy~cat_edgeupdate~cat_applications~cat_microsoftedge_pol_targetchannelmicrosoftedge,Target Channel override = Enabled [Target Channel (Device) = Stable],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Allow installation,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_update~policy~cat_google~cat_googleupdate~cat_applications~cat_microsoftedge_pol_allowinstallationmicrosoftedge,Allow installation = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Update policy override,Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - D - Updates - v1.0.0,device_vendor_msft_policy_config_update~policy~cat_google~cat_googleupdate~cat_applications~cat_microsoftedge_pol_updatepolicymicrosoftedge,Update policy override = Enabled [Policy (Device) = Always allow updates (recommended)],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Updates - v4.0.0
—,Carried forward,Enable Workspaces (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev107~policy~microsoft_edge~edgeworkspaces_edgeworkspacesenabled,Enable Workspaces (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Microsoft Edge built-in PDF reader powered by Adobe Acrobat enabled (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev111~policy~microsoft_edge_newpdfreaderenabled,Microsoft Edge built-in PDF reader powered by Adobe Acrobat enabled (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Shows button on native PDF viewer in Microsoft Edge that allows users to sign up for Adobe Acrobat subscription (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev111~policy~microsoft_edge_showacrobatsubscriptionbutton,Shows button on native PDF viewer in Microsoft Edge that allows users to sign up for Adobe Acrobat subscription (User) = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Configure whether a user always has a default profile automatically signed in with their work or school account (User),Carried from v4.0.0,"Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edgev78diff~policy~microsoft_edge_nonremovableprofileenabled,Configure whether a user always has a default profile automatically signed in with their work or school account (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - Profiles Sign-In and Sync - v4.0.0
—,Carried forward,Set new tab page quick links (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev79diff~policy~microsoft_edge_recommended~startup_recommended_newtabpagemanagedquicklinks_recommended,Set new tab page quick links (User) = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Allow users to be alerted if their passwords are found to be unsafe (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Password Management - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev85diff~policy~microsoft_edge~passwordmanager_passwordmonitorallowed,Allow users to be alerted if their passwords are found to be unsafe (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Password Management - v4.0.0
—,Carried forward,Force synchronization of browser data and do not show the sync consent prompt (User),Carried from v4.0.0,"Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edgev86~policy~microsoft_edge_forcesync,Force synchronization of browser data and do not show the sync consent prompt (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - Profiles Sign-In and Sync - v4.0.0
—,Carried forward,Configure Sleeping Tabs (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev88~policy~microsoft_edge_recommended~sleepingtabs_recommended_sleepingtabsenabled_recommended,Configure Sleeping Tabs (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Single sign-on for work or school sites using this profile enabled (User),Carried from v4.0.0,"Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edgev92~policy~microsoft_edge_aadwebsitessousingthisprofileenabled,Single sign-on for work or school sites using this profile enabled (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - Profiles Sign-In and Sync - v4.0.0
—,Carried forward,Configures a setting that asks users to enter their device password while using password autofill (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Password Management - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev93.1~policy~microsoft_edge~passwordmanager_primarypasswordsetting,Configures a setting that asks users to enter their device password while using password autofill (User) = Enabled [Configures a setting that asks users to enter their device password while using password autofill (User) = With device password],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Password Management - v4.0.0
—,Carried forward,Enable implicit sign-in (User),Carried from v4.0.0,"Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - U - Profiles, Sign-In and Sync - v1.0.0",user_vendor_msft_policy_config_microsoft_edgev93~policy~microsoft_edge~identity_implicitsigninenabled,Enable implicit sign-in (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L2 - Microsoft Edge - Profiles Sign-In and Sync - v4.0.0
—,Carried forward,Allow users to get a strong password suggestion whenever they are creating an account online (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Password Management - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev93~policy~microsoft_edge~passwordmanager_passwordgeneratorenabled,Allow users to get a strong password suggestion whenever they are creating an account online (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Password Management - v4.0.0
—,Carried forward,Allow users to access the games menu (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edgev99~policy~microsoft_edge_allowgamesmenu,Allow users to access the games menu (User) = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Action to take on Microsoft Edge startup (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_recommended~startup_recommended_restoreonstartup_recommended,Action to take on Microsoft Edge startup (User) = Enabled [Action to take on startup (User) = Restore the last session],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Show Home button on toolbar (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - User Experience - v1.0.0,user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge_recommended~startup_recommended_showhomebutton_recommended,Show Home button on toolbar (User) = Enabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - User Experience - v4.0.0
—,Carried forward,Allow specific extensions to be installed (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Extensions - v1.0.0,user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~extensions_extensioninstallallowlist,Allow specific extensions to be installed (User) = Disabled,Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Extensions - v4.0.0
—,Carried forward,Control which extensions cannot be installed (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Extensions - v1.0.0,user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~extensions_extensioninstallblocklist,Control which extensions cannot be installed (User) = Enabled [Extension IDs the user should be prevented from installing (or * for all) (User) = *],Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Extensions - v4.0.0
—,Carried forward,Control which extensions are installed silently (User),Carried from v4.0.0,Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - U - Extensions - v1.0.0,user_vendor_msft_policy_config_microsoft_edge~policy~microsoft_edge~extensions_extensioninstallforcelist,"Control which extensions are installed silently (User) = Enabled [Extension/App IDs and update URLs to be silently installed (User) = nkbndigcebkoaejohleckhekfmcecfja, ofefcgjbeghpigppfmkologfjadafddi]",Carried,No recommendation in this benchmark; retained from Win - CDW Baseline - SC - CIS L1 - Microsoft Edge - Extensions - v4.0.0
